model,class,n_edges,median_rho,iqr_rho_lo,iqr_rho_hi,frac_below_boundary,median_ratio,mw_p_one_sided,rank_biserial,wilcoxon_p_conditions,n_conditions
pythia_70m,kappa=1 (band-specific),231,1.1090487238979119,0.7806416935417184,1.656268381521198,0.5887445887445888,0.8178562936576655,3.731402769133188e-53,-0.5959742651455358,3.0517578125e-05,15
pythia_70m,kappa=5 (universal),4525,0.43884892086330934,0.19184652278177458,0.86810551558753,0.20198895027624308,3.6155801882941963,3.731402769133188e-53,-0.5959742651455358,3.0517578125e-05,15
pythia_160m,kappa=1 (band-specific),1892,1.6959322033898303,0.9422319166901211,2.82491673112895,0.7288583509513742,0.4596137412617238,0.0,-0.6230800122503013,3.0517578125e-05,15
pythia_160m,kappa=5 (universal),10700,0.4695771397562182,0.16110797534781549,1.0304973967134166,0.2588785046728972,2.6068897696020628,0.0,-0.6230800122503013,3.0517578125e-05,15
pythia_410m,kappa=1 (band-specific),8376,2.2873826634808774,1.1275960917599144,4.231746747750156,0.7818767908309455,0.34179501693280834,0.0,-0.6105339780080339,3.0517578125e-05,15
pythia_410m,kappa=5 (universal),19540,0.5017545606046527,0.15706436127896634,1.2992565085059398,0.3168372569089048,2.016887213341945,0.0,-0.6105339780080339,3.0517578125e-05,15
pythia_1b,kappa=1 (band-specific),1777,1.953827460510328,1.0501835985312118,3.4519427402862988,0.7625211029825548,0.4379217030148715,0.0,-0.6319502844292131,3.0517578125e-05,15
pythia_1b,kappa=5 (universal),5340,0.4156903269369394,0.1486666356864984,1.0754485829808642,0.26853932584269663,2.3894182711606646,0.0,-0.6319502844292131,3.0517578125e-05,15
pythia_1.4b,kappa=1 (band-specific),6947,3.251152073732719,1.5238867246266647,6.375254790052996,0.8394990643443213,0.25516988051292017,0.0,-0.7245466984278817,3.0517578125e-05,15
pythia_1.4b,kappa=5 (universal),9300,0.39326304271325685,0.12740581035759396,1.1167371150687961,0.2752688172043011,2.3862175262564302,0.0,-0.7245466984278817,3.0517578125e-05,15
