multiplier,model,label_agreement,prev_token_OR,prev_token_p,bos_sink_OR,bos_sink_p
0.5,pythia-70m,0.7916666666666666,inf,0.02101034894988829,0.14285714285714285,0.01884768522873301
0.5,pythia-160m,0.8819444444444444,4.475862068965517,0.0026040608887981016,0.2087912087912088,3.101179674379153e-05
0.5,pythia-410m,0.8463541666666666,1.6605042016806724,0.15801480220401326,0.4339791356184799,0.0005214029663536628
0.5,pythia-1b,0.8828125,4.304347826086956,0.014793296557423246,0.25806451612903225,0.00045226279596276075
0.5,pythia-1.4b,0.8671875,4.396510705789057,6.524921591687292e-05,0.23583447802197802,7.481496827934527e-09
0.75,pythia-70m,0.8541666666666666,inf,0.02101034894988829,0.1,0.005867513234224275
0.75,pythia-160m,0.9444444444444444,3.425806451612903,0.021424997670610634,0.18840579710144928,7.420466051098247e-06
0.75,pythia-410m,0.9244791666666666,2.265957446808511,0.03496162108650394,0.45588235294117646,0.0005239289622435347
0.75,pythia-1b,0.9453125,3.8617021276595747,0.02696120681446277,0.2629757785467128,0.0005543065764689719
0.75,pythia-1.4b,0.9270833333333334,6.5685997171145685,1.5324976022403907e-05,0.21925050536464002,3.3013107271530984e-10
1.0,pythia-70m,1.0,inf,0.04423390524190638,0.09523809523809523,0.0017038770071232674
1.0,pythia-160m,1.0,5.4867724867724865,0.0064403757102150325,0.21493703864524533,2.203533652352736e-05
1.0,pythia-410m,1.0,3.728370221327968,0.004391219633353879,0.3840277777777778,1.0481352313050285e-05
1.0,pythia-1b,1.0,14.375,0.0024837668125837413,0.2816326530612245,0.0006913138606343067
1.0,pythia-1.4b,1.0,11.644444444444444,1.1666819557051565e-05,0.1670616113744076,2.964925489559353e-14
1.5,pythia-70m,0.7291666666666666,inf,0.5629047178538391,0.1152073732718894,0.0047273629984462455
1.5,pythia-160m,0.6666666666666666,inf,0.004563668183004362,0.1822704658525554,1.1022692854300492e-05
1.5,pythia-410m,0.8359375,4.966442953020135,0.010136407519674831,0.3272058823529412,1.905123028033509e-07
1.5,pythia-1b,0.7421875,7.961538461538462,0.04583641807860719,0.1836734693877551,3.922482566847113e-05
1.5,pythia-1.4b,0.8411458333333334,inf,6.232958499305776e-06,0.1111878453038674,1.8945423394278613e-19
2.0,pythia-70m,0.6458333333333334,inf,0.5629047178538391,0.058823529411764705,0.0016195273068622517
2.0,pythia-160m,0.5694444444444444,inf,0.03369490220213418,0.097856477166822,1.4149633325690237e-07
2.0,pythia-410m,0.6796875,3.6201298701298703,0.13119988829706183,0.19504748982360923,8.653615642673728e-12
2.0,pythia-1b,0.5390625,inf,0.09038713910761155,0.04093567251461988,9.326749959839539e-06
2.0,pythia-1.4b,0.6875,inf,0.0002422819227123531,0.08443026193325355,5.18534948351056e-18
