threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
0.01,97,0.46859903381642515,1.0,0.995555579662323,0.4385911226272583,0.5244444608688354,0.2643706798553467,0.995555579662323,True
0.003981071705534973,109,0.5265700483091788,1.0,1.0,0.21526896953582764,0.5244444608688354,0.25716233253479004,1.0,False
0.001584893192461114,111,0.5362318840579711,1.0,1.0,0.12310626357793808,0.5244444608688354,0.2579030990600586,1.0,False
0.000630957344480193,125,0.6038647342995169,1.0,1.0,0.07252033054828644,0.5244444608688354,0.25565600395202637,1.0,False
0.00025118864315095795,146,0.7053140096618358,1.0,1.0,0.013272798620164394,0.5244444608688354,0.2550802230834961,1.0,False
9.999999999999999e-05,174,0.8405797101449275,1.0,1.0,0.0023216968402266502,0.5244444608688354,0.25569725036621094,1.0,False
3.9810717055349695e-05,190,0.9178743961352657,1.0,1.0,0.0003628237172961235,0.5244444608688354,0.2550506591796875,1.0,False
1.5848931924611107e-05,200,0.966183574879227,1.0,1.0,4.7870656999293715e-05,0.5244444608688354,0.25469017028808594,1.0,False
6.30957344480193e-06,203,0.9806763285024155,1.0,1.0,1.7356940588797443e-05,0.5244444608688354,0.2557497024536133,1.0,False
2.5118864315095823e-06,207,1.0,1.0,1.0,0.0,0.5244444608688354,0.2555077075958252,1.0,False
1e-06,207,1.0,1.0,1.0,0.0,0.5244444608688354,0.25406622886657715,1.0,False
