threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
0.01,89,0.42995169082125606,1.0,0.995555579662323,0.2839098572731018,0.5288888812065125,0.2683982849121094,0.995555579662323,True
0.003981071705534973,96,0.463768115942029,1.0,1.0,0.18226346373558044,0.5288888812065125,0.2598702907562256,1.0,False
0.001584893192461114,110,0.5314009661835749,1.0,1.0,0.09325861930847168,0.5288888812065125,0.25844621658325195,1.0,False
0.000630957344480193,127,0.6135265700483091,1.0,1.0,0.0418303944170475,0.5288888812065125,0.25554418563842773,1.0,False
0.00025118864315095795,146,0.7053140096618358,1.0,1.0,0.014780466444790363,0.5288888812065125,0.2558627128601074,1.0,False
9.999999999999999e-05,172,0.8309178743961353,1.0,1.0,0.002896521706134081,0.5288888812065125,0.25679659843444824,1.0,False
3.9810717055349695e-05,187,0.9033816425120773,1.0,1.0,0.0008470409666188061,0.5288888812065125,0.2542593479156494,1.0,False
1.5848931924611107e-05,203,0.9806763285024155,1.0,1.0,3.75320523744449e-05,0.5288888812065125,0.25363707542419434,1.0,False
6.30957344480193e-06,205,0.9903381642512077,1.0,1.0,9.530303941573948e-06,0.5288888812065125,0.25495004653930664,1.0,False
2.5118864315095823e-06,207,1.0,1.0,1.0,0.0,0.5288888812065125,0.2535996437072754,1.0,False
1e-06,207,1.0,1.0,1.0,0.0,0.5288888812065125,0.2540440559387207,1.0,False
