threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
0.01,89,0.42995169082125606,1.0,1.0,0.2701055705547333,0.4844444692134857,0.2678248882293701,1.0,True
0.003981071705534973,99,0.4782608695652174,1.0,1.0,0.12736210227012634,0.4844444692134857,0.2618131637573242,1.0,False
0.001584893192461114,110,0.5314009661835749,1.0,1.0,0.05569442734122276,0.48000001907348633,0.2692604064941406,1.0,False
0.000630957344480193,121,0.5845410628019324,1.0,1.0,0.02248716540634632,0.47555556893348694,0.26175737380981445,1.0,False
0.00025118864315095795,139,0.6714975845410628,1.0,1.0,0.009927215054631233,0.47555556893348694,0.27498960494995117,1.0,False
9.999999999999999e-05,157,0.7584541062801933,1.0,1.0,0.00442446768283844,0.47555556893348694,0.2597172260284424,1.0,False
3.9810717055349695e-05,176,0.8502415458937198,1.0,1.0,0.0025254276115447283,0.47555556893348694,0.26105356216430664,1.0,False
1.5848931924611107e-05,191,0.9227053140096618,1.0,1.0,0.00021038850536569953,0.46666666865348816,0.259368896484375,1.0,False
6.30957344480193e-06,202,0.9758454106280193,1.0,1.0,0.00014954287325963378,0.46666666865348816,0.2600414752960205,1.0,False
2.5118864315095823e-06,205,0.9903381642512077,1.0,1.0,7.150626515795011e-06,0.46666666865348816,0.25920987129211426,1.0,False
1e-06,207,1.0,1.0,1.0,0.0,0.46666666865348816,0.2626628875732422,1.0,False
