threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
0.01,88,0.4251207729468599,1.0,0.991111159324646,0.4169381260871887,0.46666666865348816,0.2621805667877197,0.991111159324646,True
0.003981071705534973,105,0.5072463768115942,1.0,1.0,0.15544915199279785,0.46666666865348816,0.25525856018066406,1.0,False
0.001584893192461114,113,0.5458937198067633,1.0,1.0,0.04752817749977112,0.46666666865348816,0.2564728260040283,1.0,False
0.000630957344480193,119,0.5748792270531401,1.0,1.0,0.027043290436267853,0.46666666865348816,0.2541933059692383,1.0,False
0.00025118864315095795,135,0.6521739130434783,1.0,1.0,0.00574461231008172,0.46666666865348816,0.25434303283691406,1.0,False
9.999999999999999e-05,144,0.6956521739130435,1.0,1.0,0.0029830364510416985,0.46666666865348816,0.25482797622680664,1.0,False
3.9810717055349695e-05,154,0.7439613526570048,1.0,1.0,0.001298293354921043,0.47111111879348755,0.25490760803222656,1.0,False
1.5848931924611107e-05,169,0.8164251207729468,1.0,1.0,0.0005222458275966346,0.47111111879348755,0.2523646354675293,1.0,False
6.30957344480193e-06,182,0.8792270531400966,1.0,1.0,0.00011819454084616154,0.47111111879348755,0.25449204444885254,1.0,False
2.5118864315095823e-06,193,0.9323671497584541,1.0,1.0,4.014518344774842e-05,0.47111111879348755,0.25404930114746094,1.0,False
1e-06,205,0.9903381642512077,1.0,1.0,2.1071168703201693e-06,0.47111111879348755,0.25620150566101074,1.0,False
